"node_id","node_lat","node_lng"
"326039",38.9348268899522,-74.9447086698565
"326543",38.9357541308411,-74.947881046729
"326572",38.9365344305556,-74.9445357222222
"32660E",38.939132,-74.948616
"326710",38.936648,-74.946824
"3274F4",38.937484,-74.945568
"327749",38.9366928172043,-74.9456911541219
"3282EC",38.9339695069767,-74.9468829395349
"32841A",38.9348417959184,-74.9468543673469
"328CCF",38.9338971111111,-74.9445323888889
"328D0C",38.9375878477509,-74.9445206089965
"328FAF",38.9384906431095,-74.9468099222615
"32909D",38.933988,-74.94568
"339BB0",38.9384582142857,-74.9480630714286
"339CAE",38.9348042857143,-74.9479859047619
"33D76B",38.9339246101695,-74.9480052881356
"33DA3C",38.9357477992832,-74.9468454193548
"3648E1",38.9348035720165,-74.9456995555556
"3765DD",38.9357612014134,-74.9444822332156
"377E5F",38.9373096901408,-74.9478631267606
"37824B",38.9357580677966,-74.9457135932203
"379B89",38.9365697241379,-74.9479754482759
"3B3B89",38.937626,-74.9469056969697
